"Select CMS Block.","Select CMS Block."
"Checkbox is checked by default","Checkbox is checked by default"
"Account Balance","Account Balance"
"Maximum of Affiliate Balance","Maximum of Affiliate Balance"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation."
"Allow negative balance","Allow negative balance"
"Commission Configuration","Commission Configuration"
"Earn commission from tax","Earn commission from tax"
"Commission calculation process","Commission calculation process"
"Allow Affiliate receiving commission when Invoice created","Allow Affiliate receiving commission when Invoice created"
"Hold commission transactions for","Hold commission transactions for"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deduct commission from Affiliate's balance when order is refunded/canceled"
"Withdraw Configuration","Withdraw Configuration"
"Allow withdraw request","Allow withdraw request"
"Payment Methods","Payment Methods"
"The minimum balance in affiliate account for requesting withdraw","The minimum balance in affiliate account for requesting withdraw"
"Minimum withdraw amount","Minimum withdraw amount"
"Include Fee","Include Fee"
"Maximum withdraw amount","Maximum withdraw amount"
"Email Configuration","Email Configuration"
"Email Sender","Email Sender"
"Admin Email","Admin Email"
"Send Emails To","Send Emails To"
"New Affiliate Sign Up","New Affiliate Sign Up"
"Sign Up Template","Sign Up Template"
"New Withdraw Request","New Withdraw Request"
"Withdraw Request Template","Withdraw Request Template"
"Account Email","Account Email"
"Send Welcome Email","Send Welcome Email"
"Welcome Email","Welcome Email"
"Welcome Email After Account Approved","Welcome Email After Account Approved"
"This email will be sent instead of welcome email, after approving account.","This email will be sent instead of welcome email, after approving account."
"Account Rejection","Account Rejection"
"Account Rejection Template","Account Rejection Template"
"Account Change Status","Account Change Status"
"Account Change Status Template","Account Change Status Template"
"Withdraw Cancel Email","Withdraw Cancel Email"
"Withdraw Cancel Template","Withdraw Cancel Template"
"Transaction Email","Transaction Email"
"Send Transaction Email","Send Transaction Email"
"Update Balance Email","Update Balance Email"
"Withdraw Email","Withdraw Email"
"Send Withdraw Email","Send Withdraw Email"
"Withdraw Complete Email","Withdraw Complete Email"
"Campaign Email","Campaign Email"
"Send New Campaign Email","Send New Campaign Email"
"Send Expired Campaign Email","Send Expired Campaign Email"
"Expired Campaign Template","Expired Campaign Template"
"Refer Friends Configuration","Refer Friends Configuration"
"Enable Refer Friends Feature","Enable Refer Friends Feature"
"Refer Sharing Email","Refer Sharing Email"
"Default Refer Url","Default Refer Url"
"ShareThis.com Property ID","ShareThis.com Property ID"
"ShareThis.com Tool","ShareThis.com Tool"
"Enable Referral via Social Networks on Product Listing Page","Enable Referral via Social Networks on Product Listing Page"
"Enable Referral via Social Networks on Product Details Page","Enable Referral via Social Networks on Product Details Page"
"Use Cloudsponge to retrieve email contacts","Use Cloudsponge to retrieve email contacts"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","Sending Email Content"
"Default Email Subject","Default Email Subject"
"Default Email Body","Default Email Body"
"Change Status","Change Status"
"Are you sure to change status of selected customers?","Are you sure to change status of selected customers?"
"Change Affiliate Group","Change Affiliate Group"
"Are you sure to change affiliate group of selected customers?","Are you sure to change affiliate group of selected customers?"
"Add New Account","Add New Account"
Delete,Delete
"Delete Accounts","Delete Accounts"
"Are you sure you want to delete selected Accounts?","Are you sure you want to delete selected Accounts?"
"Parent Affiliate","Parent Affiliate"
"Add New Campaign","Add New Campaign"
"Sort Order","Sort Order"
Created,Created
"Add New Group","Add New Group"
"Delete Groups","Delete Groups"
"Are you sure you want to delete selected groups?","Are you sure you want to delete selected groups?"
"Add New Transaction","Add New Transaction"
"Complete Transactions","Complete Transactions"
"Are you sure you want to complete selected transactions?","Are you sure you want to complete selected transactions?"
"Cancel Transactions","Cancel Transactions"
"Are you sure you want to cancel selected Transactions?","Are you sure you want to cancel selected Transactions?"
"Current Balance","Current Balance"
Store,Store
"Holding Date","Holding Date"
"Product Sku","Product Sku"
"Product Qty","Product Qty"
"Add New Withdraw","Add New Withdraw"
Approve,Approve
"Approve Withdraws","Approve Withdraws"
"Are you sure you want to approve selected Withdraws?","Are you sure you want to approve selected Withdraws?"
"Cancel Withdraws","Cancel Withdraws"
"Are you sure you want to cancel selected Withdraws?","Are you sure you want to cancel selected Withdraws?"
"Transaction ID","Transaction ID"
Transferred,Transferred
Home,Home
"Account Dashboard","Account Dashboard"
Signup,Signup
Settings,Settings
"More details","More details"
